,test_roc_auc,test_precision,test_recall,test_f0.5_score,scale_user,scale_activity
0,0,0.0,0.0,0.0,0.1,0.1
0,0,0.7777777777777778,0.00024786657696257213,0.0012377550659546626,0.1,0.6
0,0,0.9166666666666666,0.0007790092418823696,0.0038818505840420648,0.1,1.1
0,0,0.9411764705882353,0.001699656527743352,0.008437335208296714,0.1,1.6
0,0,0.9285714285714286,0.002761941857582947,0.013647338768940058,0.1,2.1
0,0,0.92,0.004886512517262137,0.023924274470372042,0.1,2.6
0,0,0.869198312236287,0.007294359264898552,0.03528726575079654,0.1,3.1
0,0,0.8353293413173652,0.009879253567508232,0.047165026878993814,0.1,3.6
0,0,0.8337078651685393,0.013136928579016324,0.061790080277139336,0.1,4.1
0,0,0.8269230769230769,0.016748698700470948,0.0774673261489076,0.1,4.6
0,0,0.8079561042524005,0.020856201975850714,0.09452129537503612,0.1,5.1
0,0,0.8040540540540541,0.02528239085018236,0.11228886861887838,0.1,5.6
0,0,0.7791017415215399,0.03009808434545519,0.13034810611869346,0.1,6.1
0,0,0.7638572513287776,0.03562196806062108,0.1501089259601898,0.1,6.6
0,0,0.7532216494845361,0.04139371835274955,0.16967110801474644,0.1,7.1
0,0,0.7392045454545455,0.04606777380404377,0.18437686006632464,0.1,7.6
0,0,0.718809980806142,0.053043447469990436,0.20477349153839844,0.1,8.1
0,0,0.7177990829512296,0.06097517793279275,0.22755503871871452,0.1,8.6
0,0,0.7028718703976435,0.06759675648879289,0.24408643395985172,0.1,9.1
0,0,0.6666666666666666,7.081902198930633e-05,0.0003539447138356989,0.6,0.1
0,0,0.828080229226361,0.010233348677454764,0.048756621790329656,0.6,0.6
0,0,0.7531787584143605,0.03565737757161574,0.1499002649676978,0.6,1.1
0,0,0.6922578555231617,0.07567012499557381,0.2632486634309788,0.6,1.6
0,0,0.6677916051465935,0.11210651180907191,0.335345832009321,0.6,2.1
0,0,0.6448309492847855,0.1404695301157891,0.37531457548865643,0.6,2.6
0,0,0.6260615711252654,0.16706207287277364,0.40404213410978856,0.6,3.1
0,0,0.6064234556848702,0.1918841400800255,0.42345862311479254,0.6,3.6
0,0,0.5935409898719664,0.21996388229878544,0.4430497111475644,0.6,4.1
0,0,0.5764269454514797,0.24209482667044369,0.45167470436678336,0.6,4.6
0,0,0.5603364847762972,0.26652738925675434,0.4591145865101923,0.6,5.1
0,0,0.5437365010799136,0.2852590205729259,0.46031655333980914,0.6,5.6
0,0,0.5311825303806058,0.3049112991749584,0.4625342428962776,0.6,6.1
0,0,0.5194406548431105,0.3235721114691406,0.4633451307689968,0.6,6.6
0,0,0.5068267545024704,0.33780673488899116,0.4607226681347976,0.6,7.1
0,0,0.49922704832194686,0.3544846145674728,0.4615363337113773,0.6,7.6
0,0,0.49186915004254517,0.36843596189936617,0.4609815961792357,0.6,8.1
0,0,0.4817999554466474,0.3829184518961793,0.45813880580574645,0.6,8.6
0,0,0.47601256686762333,0.3970114372720513,0.4577933478690479,0.6,9.1
0,0,0.6666666666666666,7.081902198930633e-05,0.0003539447138356989,1.1,0.1
0,0,0.7607260726072608,0.03264756913707022,0.13932122457614315,1.1,0.6
0,0,0.6686151079136691,0.10530788569809851,0.3230291312753894,1.1,1.1
0,0,0.6324582338902148,0.15951984703091251,0.3970352352246488,1.1,1.6
0,0,0.6003099173553719,0.20576466838992954,0.43390929048251964,1.1,2.1
0,0,0.5681981622053536,0.25179703268297865,0.45408104621907774,1.1,2.6
0,0,0.5402947424322889,0.2881980099854821,0.45984609647784663,1.1,3.1
0,0,0.5187535734705546,0.32127049325448814,0.4619606724982434,1.1,3.6
0,0,0.49947455337036484,0.3534223292376332,0.46134432806707776,1.1,4.1
0,0,0.4840943029096339,0.37881094862079956,0.45860233030684944,1.1,4.6
0,0,0.4698690677791087,0.40281859707517437,0.45473078306751413,1.1,5.1
0,0,0.45865263639483017,0.4259764172656776,0.45172240287780596,1.1,5.6
0,0,0.45046206748334405,0.44531001026875816,0.4494221409018461,1.1,6.1
0,0,0.44098399167701446,0.4652809744697426,0.4456382394237226,1.1,6.6
0,0,0.4337974075852136,0.479940512021529,0.44230229537726545,1.1,7.1
0,0,0.42761045711664886,0.4952020112602245,0.4396112183376189,1.1,7.6
0,0,0.42277332704995285,0.5082681208172515,0.43749123737419915,1.1,8.1
0,0,0.41663608907956756,0.5226797917920754,0.43425690027477537,1.1,8.6
0,0,0.413154238073182,0.5369498247229205,0.4331259675641091,1.1,9.1
0,0,0.8333333333333334,0.0005311426649197975,0.0026489598417687985,1.6,0.1
0,0,0.6934330299089727,0.0755284869515952,0.26304106548279693,1.6,0.6
0,0,0.6303854875283447,0.15750150490421727,0.3938723102807049,1.6,1.1
0,0,0.5849643314432047,0.22647923232180164,0.4443085985801019,1.6,1.6
0,0,0.5405020352781547,0.28210757409440174,0.45681815575509455,1.6,2.1
0,0,0.5083428447198217,0.33118515633299106,0.4592142345120143,1.6,2.6
0,0,0.4846040379828524,0.3722601890867887,0.45701939713259776,1.6,3.1
0,0,0.4689201267571301,0.4086965759002868,0.45549618380861423,1.6,3.6
0,0,0.4531620625478962,0.439715307531603,0.4504073179401246,1.6,4.1
0,0,0.4409987917841321,0.4652809744697426,0.4456503306766153,1.6,4.6
0,0,0.4306471268318595,0.4880138805283099,0.44101553250177594,1.6,5.1
0,0,0.4218997361477573,0.5095782727240536,0.43693565135018614,1.6,5.6
0,0,0.41591466131907306,0.5287702276831557,0.43446004527019555,1.6,6.1
0,0,0.40919187645441085,0.547926773131263,0.43101863457842404,1.6,6.6
0,0,0.4038525069248558,0.562727948727028,0.4280212233025398,1.6,7.1
0,0,0.39867507577979855,0.5774937148117985,0.42499465792477314,1.6,7.6
0,0,0.3927644310190211,0.5893204914840126,0.4208367680302624,1.6,8.1
0,0,0.3890869207567864,0.6029531532169541,0.4187961455407606,1.6,8.6
0,0,0.3852805192495777,0.6137530540703233,0.41627240108937374,1.6,9.1
0,0,0.8421052631578947,0.001699656527743352,0.008430222347114406,2.1,0.1
0,0,0.6605212968849332,0.1103714457703339,0.330772332703695,2.1,0.6
0,0,0.598042246264812,0.20551680181296697,0.43274034088367314,2.1,1.1
0,0,0.5395518358531317,0.2830636308912574,0.45677389863436374,2.1,1.6
0,0,0.5002577585318074,0.3436138946921143,0.4584581368760217,2.1,2.1
0,0,0.47076715106454886,0.39460359052441485,0.4532697736091566,2.1,2.6
0,0,0.45257054786980294,0.43670549909705747,0.4493059856461073,2.1,3.1
0,0,0.43881995776135163,0.47087567720689777,0.44487712184775546,2.1,3.6
0,0,0.42708459032219137,0.5012924471513048,0.4401149017925426,2.1,4.1
0,0,0.4161019322318678,0.5261499238695514,0.43426797832605607,2.1,4.6
0,0,0.4074269021238519,0.5481746397082257,0.4294813820195418,2.1,5.1
0,0,0.400876559503947,0.5700223079919267,0.4261684024376685,2.1,5.6
0,0,0.3945397036790411,0.587443787401296,0.42227278974938537,2.1,6.1
0,0,0.3883331817768482,0.6048652668106653,0.4182807441978913,2.1,6.6
0,0,0.38404525918779053,0.6201621755603555,0.4156994545635796,2.1,7.1
0,0,0.3792723730464614,0.6341843419142381,0.4124276351846137,2.1,7.6
0,0,0.3753696402168556,0.6472504514712651,0.4097971079475395,2.1,8.1
0,0,0.3711286717752235,0.6585460854785595,0.406622093760522,2.1,8.6
0,0,0.36762731323824166,0.6689564817109875,0.40402571461567083,2.1,9.1
0,0,0.8916666666666667,0.0037888176764278884,0.018627485115420773,2.6,0.1
