,test_roc_auc,test_precision,test_recall,test_f0.5_score,scale_user,scale_activity
0,0.8287162370407912,0.0,0.0,0.0,0.1,0.1
0,0.7987292227124708,1.0,0.00014420650371331747,0.0007206168480219067,0.1,0.6
0,0.7898388944164476,0.92,0.0008291873963515755,0.00413104389683167,0.1,1.1
0,0.7858682764693953,0.8545454545454545,0.0016944264186314804,0.008405465340868445,0.1,1.6
0,0.7837518810909311,0.9134615384615384,0.00342490446319129,0.016871492505505434,0.1,2.1
0,0.7821086854345258,0.8670520231213873,0.0054077438892494055,0.02638058389025677,0.1,2.6
0,0.7811485622128469,0.872,0.007859254452375801,0.03792887466072795,0.1,3.1
0,0.7803119968341506,0.8410958904109589,0.011067849159997116,0.05257209397903965,0.1,3.6
0,0.7804788229276861,0.8245243128964059,0.014060134112048454,0.06581167735403308,0.1,4.1
0,0.7801104347765646,0.8113522537562604,0.01752109020116807,0.08063980885378641,0.1,4.6
0,0.7798639563594161,0.8025641025641026,0.022568317831134183,0.10143236761941797,0.1,5.1
0,0.780271573167427,0.7746031746031746,0.026389790179537097,0.1161241195507329,0.1,5.6
0,0.7801494844959044,0.7694369973190348,0.031040449924291585,0.13363754889178617,0.1,6.1
0,0.7795848275947675,0.7516292541636496,0.03742158771360588,0.156033912572906,0.1,6.6
0,0.7798670691402863,0.7381974248927039,0.04340615761770856,0.17570486252991652,0.1,7.1
0,0.7801825090426311,0.7248536455561468,0.0491023145143846,0.19316956941056332,0.1,7.6
0,0.7804801916429779,0.7086542818305392,0.05638474295190713,0.2138598698244271,0.1,8.1
0,0.7803758554599283,0.702521670606777,0.06428004903021126,0.23528635523884928,0.1,8.6
0,0.7804260547675193,0.6976256983240223,0.07203114860480207,0.25488595193141805,0.1,9.1
0,0.8384911795286094,1.0,0.00014420650371331747,0.0007206168480219067,0.6,0.1
0,0.829221203933205,0.8523076923076923,0.009986300382147234,0.047696122322474,0.6,0.6
0,0.8222533444639772,0.7432859399684044,0.033924579998557934,0.14343637583074204,0.6,1.1
0,0.8179662959702632,0.6900357026939306,0.07664575672362824,0.2653387249762868,0.6,1.6
0,0.8152764236390948,0.6536452893252559,0.1128055375297426,0.3336816960286652,0.6,2.1
0,0.8132499108939139,0.6324650571791613,0.14355757444660755,0.3762140508673142,0.6,2.6
0,0.811642321507758,0.6125290023201856,0.17131732641142117,0.40428790199081166,0.6,3.1
0,0.8104982376141464,0.5958392025138152,0.19824789097988318,0.42526371144863434,0.6,3.6
0,0.8103345053613076,0.5736230798051705,0.22078015718508906,0.434683853382925,0.6,4.1
0,0.8096540686452944,0.5552189930413426,0.24450212704592977,0.4427008538081934,0.6,4.6
0,0.8092970675147633,0.5430851453254265,0.26743096113634723,0.4502634326365116,0.6,5.1
0,0.8093530820834324,0.529216907380416,0.28798038791549496,0.45327643734253353,0.6,5.6
0,0.8091129059304942,0.5165279285800458,0.30871007282428437,0.45523657628920783,0.6,6.1
0,0.8087686655586536,0.5039564509792918,0.32374360083639775,0.4534712262912316,0.6,6.6
0,0.8088602040444425,0.4952859836580767,0.3409041747782825,0.45415249841507693,0.6,7.1
0,0.8091749636701733,0.48785882815572157,0.357812387338669,0.45479956742489497,0.6,7.6
0,0.8092966292747295,0.47889273356401385,0.37421587713605886,0.4535206836889845,0.6,8.1
0,0.8092191115400489,0.47193922360793955,0.3874468238517557,0.4522158450170838,0.6,8.6
0,0.8092556517387368,0.4634981623788841,0.4001009445525993,0.4492608125394692,0.6,9.1
0,0.838408575572563,1.0,0.0002523613814983056,0.0012605344666138444,1.1,0.1
0,0.8342646859084413,0.7319838056680162,0.032590669839209746,0.13831935858987698,1.1,0.6
0,0.8294257811408225,0.6584308625921109,0.10952483957026461,0.3288305840585357,1.1,1.1
0,0.8261243569810092,0.6161518215819366,0.16035763212920903,0.39283569435122057,1.1,1.6
0,0.8239558172123974,0.5868710295452254,0.20982046290287693,0.4317123104768122,1.1,2.1
0,0.8222252905093811,0.5546319239069619,0.2501622323166775,0.44605435704918883,1.1,2.6
0,0.8208584697582721,0.525803501437157,0.2901795370971231,0.45234348656850626,1.1,3.1
0,0.8198234935064158,0.5014828493089363,0.3230946715696878,0.4516135534458084,1.1,3.6
0,0.8196433364607932,0.4861069762826238,0.3531977792198428,0.4520829872455101,1.1,4.1
0,0.8190446485676948,0.47248357890999465,0.3838056096329944,0.4516145453311387,1.1,4.6
0,0.8186675201020891,0.4590030518819939,0.40666234047155525,0.44748409209920825,1.1,5.1
0,0.8186909813262455,0.44890648567119157,0.4291946066767611,0.4448205772018711,1.1,5.6
0,0.8184387661294003,0.4406689390711547,0.44743672939649576,0.44200606863541175,1.1,6.1
0,0.8181485619675665,0.43401680672268905,0.46549859398658877,0.43996783382627536,1.1,6.6
0,0.818171945652118,0.4268245838668374,0.4807123801283438,0.4366134461486071,1.1,7.1
0,0.8184363264048571,0.42190514100248017,0.49675535366645035,0.43501458572745527,1.1,7.6
0,0.8184615571225596,0.4159123531651873,0.5118609849304203,0.43211229197862255,1.1,8.1
0,0.8184262534765169,0.4125578358738539,0.523974331242339,0.43088216111091354,1.1,8.6
0,0.8184088838725433,0.4084121861838867,0.5383949816136708,0.4291329984712819,1.1,9.1
0,0.8384501659958233,0.8076923076923077,0.0007570841444949167,0.00377128079879319,1.6,0.1
0,0.8362818120711226,0.6819397993311037,0.07350926526786358,0.2568139452869162,1.6,0.6
0,0.8325734289865581,0.6175375706604164,0.16147523253298723,0.39462555066079297,1.6,1.1
0,0.8298551592662688,0.5672122350415885,0.22863941163746485,0.4376086776517348,1.6,1.6
0,0.8280277466700603,0.5264270613107822,0.28725935539692843,0.4512811218594957,1.6,2.1
0,0.8265557002802456,0.49783271793225237,0.3353882760112481,0.45386686962121653,1.6,2.6
0,0.8253501396184613,0.47374149659863946,0.3765952844473286,0.4504994048543186,1.6,3.1
0,0.824432304676486,0.45653386454183265,0.4131155815127262,0.44713511994880517,1.6,3.6
0,0.8242998754027915,0.44489500362056483,0.4430023794073113,0.44451518615520413,1.6,4.1
0,0.823727408453145,0.43260104864936616,0.46996899560170163,0.4395915669638642,1.6,4.6
0,0.8233775601157147,0.42246982358402974,0.49210469392169587,0.43477429958338115,1.6,5.1
0,0.8233818397577636,0.41550591327201053,0.5129785853341986,0.43192000874221403,1.6,5.6
0,0.8231346504039415,0.4100753426561762,0.5317614824428581,0.4297434941205263,1.6,6.1
0,0.822874550130386,0.4027976096038923,0.5491744177662412,0.4254790235182392,1.6,6.6
0,0.8228996888679092,0.3979130699705494,0.5650371331747062,0.4229316207026823,1.6,7.1
0,0.8231541035316288,0.39244719645610515,0.5780878217607615,0.41938234278719905,1.6,7.6
0,0.8231421922554105,0.3898012712965807,0.5947076213137212,0.41865045123696787,1.6,8.1
0,0.8231088849664271,0.3844617397892417,0.6037205277958035,0.41457473040016635,1.6,8.6
0,0.823036264469946,0.3801070849347937,0.6168072680077872,0.41170553753453143,1.6,9.1
0,0.8382421119583677,0.8,0.0015862715408464921,0.007868946276557693,2.1,0.1
0,0.8370853236033766,0.6521646859083192,0.11078664647775614,0.3298201176319066,2.1,0.6
0,0.8340739935221794,0.5810388300554715,0.20769341697310548,0.42738656933440156,2.1,1.1
0,0.8317723263095043,0.525591199525723,0.28765592328214,0.45098460355859016,2.1,1.6
0,0.8301958178525042,0.4893347519886508,0.348186603215805,0.45263670959638563,2.1,2.1
0,0.8289116494019725,0.4635331573876251,0.39891124089696445,0.4489863823018616,2.1,2.6
0,0.8278194002632985,0.4437254616838738,0.44004614608118825,0.442984684619293,2.1,3.1
0,0.8269820248521043,0.4293246541903987,0.47555699762059267,0.43783773018760214,2.1,3.6
0,0.826879322965341,0.4190247561890473,0.5034249044631913,0.4335622648070642,2.1,4.1
0,0.8263737611840563,0.4110876334519573,0.533059340976278,0.4308024007924946,2.1,4.6
0,0.8260535203140064,0.4023789561936701,0.5536808710072825,0.42564159414666586,2.1,5.1
0,0.8260182790345016,0.39497966068062307,0.5740860912827168,0.4212653834350959,2.1,5.6
0,0.8258523954500357,0.3904290507579183,0.5914990266061,0.41890925802992385,2.1,6.1
0,0.8255824815506241,0.384093907821102,0.6086956521739131,0.4146976470010316,2.1,6.6
0,0.8256082785899747,0.37921020789792104,0.6214218761266133,0.4112703881502973,2.1,7.1
0,0.8258673212484344,0.3751995742416179,0.6354099069868051,0.4086710134577393,2.1,7.6
0,0.8258410234978706,0.37083830610313184,0.6497224024803518,0.40566335029037054,2.1,8.1
0,0.8258104298857724,0.3667977685917245,0.6589876703439325,0.40248993720108867,2.1,8.6
0,0.8257318083889438,0.3627057171827471,0.6705962938928546,0.39937906335614964,2.1,9.1
0,0.8380987790047503,0.7906976744186046,0.002451510563126397,0.012107399757852005,2.6,0.1
0,0.8373408469474107,0.6317073170731707,0.1400605667315596,0.37114524819442857,2.6,0.6
0,0.834687061715755,0.5524386356391456,0.2499098709351792,0.44475811625818046,2.6,1.1
0,0.8326575713869638,0.4977171402481603,0.3340543658518999,0.45330019764006035,2.6,1.6
0,0.8312305451614186,0.46369817021990933,0.3983344148821112,0.4489638358390898,2.6,2.1
0,0.8300491962150804,0.44133880554769317,0.4497079818299805,0.442987627313664,2.6,2.6
0,0.8291022673878847,0.4243029754285179,0.4899415963659961,0.43598496028334216,2.6,3.1
0,0.8283069489979238,0.41201826276834075,0.5237940731126974,0.43038687126014574,2.6,3.6
0,0.8282359601816829,0.4012301868937781,0.5502920181700195,0.4242121060530265,2.6,4.1
0,0.8277926753647359,0.3930766029328959,0.5788449059052563,0.420037043625671,2.6,4.6
